120,-128,12936,-1295,49,1336
964,-20,13288,-1565,-1632,1945
516,-152,12916,-1877,-1771,2609
856,-48,12580,-2554,-3567,3232
688,-132,11832,-2754,-1841,2446
652,392,11992,-4083,-646,1553
1120,384,12288,-6969,-2134,1265
1992,-2388,11124,-7477,-2089,1847
612,-2976,11260,-5674,4629,2852
2712,-2552,12232,-4294,533,4310
2200,-1112,16020,-4164,2365,5040
2224,-1612,15888,-5727,1821,4902
2288,-2256,14928,-6003,2580,5653
1560,-1624,15404,-5836,4265,6542
764,-1568,13912,-6386,4111,6024
-444,-2012,11528,-6256,2836,6630
-948,-2248,9940,-5794,459,6754
-796,-2844,8716,-4019,-1347,6599
-208,-2784,8820,-3034,-4661,6501
1228,-3516,8392,-2561,-5044,6882
1840,-3860,8008,-1492,-5958,7557
1860,-3668,8320,-718,-6322,8039
2256,-3992,7324,-123,-3631,7762
1700,-4416,5500,854,1262,7079
532,-4884,6060,2691,6402,7529
-400,-3644,8160,3633,7764,8813
-2140,-2260,11380,2708,6392,9988
-3400,-1668,12044,114,3867,10442
-4676,-2400,8332,-630,3704,9007
-4260,-3872,7128,974,7231,8111
-6236,-3828,6752,3131,5276,10317
-7800,-3448,8832,4649,-2683,10493
-6808,-2176,10808,4714,-6286,9219
-5188,-1600,9880,4912,-3584,7452
-5196,-1560,8864,6186,270,6454
-5184,-1984,9384,7566,4382,6235
-5720,-768,10724,8459,4768,6370
-8248,760,11920,7702,1421,6437
-8084,860,10668,5879,-7995,5836
-6508,212,9848,5688,-7498,3872
-5500,-1244,7988,6486,-410,1192
-4752,-492,8428,8294,5992,3045
-8736,556,9604,10356,2704,4317
-8912,948,11888,10341,-3356,3283
-7240,1880,13240,11158,-3712,2040
-7172,3016,14968,11658,-2365,1316
-6720,3800,17172,11025,-6486,1151
-4912,5412,18520,8680,-2734,-189
-5108,5712,15616,7347,2026,187
-5792,5648,15204,6807,7207,-251
-7248,5228,14248,6712,16026,-603
-11800,5136,14672,8609,26611,-2467
-14256,3792,10036,5537,20996,-3198
-17644,3732,11548,10002,-1041,-3499
-14240,7476,19504,10686,-13058,-6914
-7404,9316,21032,5494,-29167,-8918
-2360,9972,18668,154,-28638,-9912
2276,7992,10920,-3753,-19041,-9485
624,4572,5020,-842,-138,-8306
-2704,4872,6552,3205,6090,-8029
-2340,6884,8456,3017,309,-8298
-1664,7312,10868,3228,-136,-7805
-1316,7712,10452,2328,-4033,-7133
4,7856,11436,1389,-3501,-6786
-1396,8072,11136,714,-1497,-6775
284,7888,10676,-397,-3804,-6555
872,7452,10376,-249,-1721,-6092
1472,7064,10576,2,-1096,-5222
1992,8080,11836,177,1420,-4241
960,7732,12156,-528,1758,-3074
-556,6796,10900,-632,881,-2468
-560,6364,10812,370,-897,-1504
-748,6700,11488,885,-2044,-770
-468,7472,13380,760,-2366,-492
-216,7500,13544,82,-1045,-31
-1392,7060,12888,-500,1494,-55
-1756,6628,11980,-1142,1617,68
